Clause Start,Clause End,Clause,Whole Start,Whole End,Whole Sentence,Class
9399,9455,A HTTP message consists of a header and an optional body,9399,9456,A HTTP message consists of a header and an optional body.,C
9457,9555,"The message header of an HTTP request
consists of a request line and a collection of header fields",9457,9556,The message header of an HTTP request consists of a request line and a collection of header fields.,C
9557,9655,"The message header of an HTTP response
consists of a status line and a collection of header fields",9557,9656,The message header of an HTTP response consists of a status line and a collection of header fields.,C
9657,9708,"All HTTP messages must include the protocol
version",9657,9709,All HTTP messages must include the protocol version.,C
10085,10225,"The first line of that message includes
the method to apply to the resource, the identifier of the resource, and the protocol version in use",10085,10226,"The first line of that message includes the method to apply to the resource, the identifier of the resource, and the protocol version in use.",C
10721,10852,"The first line of that message consists of the protocol version followed by a numeric
status code and its associated textual phrase",10721,10853,The first line of that message consists of the protocol version followed by a numeric status code and its associated textual phrase.,C
11296,11381,An HTTP message can contain a number of headers describing properties of the message ,11296,11433,"An HTTP message can contain a number of headers describing properties of the message such as the content length, content type, and so on.",C
13453,13526,HTTP headers are tokenized into individual header elements only on demand,13372,13527, stdout > c1 = a path=/ domain=localhost c2 = b path=/ c3 = c domain=localhost HTTP headers are tokenized into individual header elements only on demand.,C
13626,13677,"parsed lazily only when
you access their properties",13528,13678,HTTP headers received over an HTTP connection are stored internally as an array of characters and parsed lazily only when you access their properties.,C
13938,14011,"The HTTP specification defines two entity-enclosing methods: POST and
PUT",13938,14012,The HTTP specification defines two entity-enclosing methods: POST and PUT.,C
14013,14071,Responses are usually expected to enclose a content entity,14013,14072,Responses are usually expected to enclose a content entity.,C
14144,14158,204 No Content,14073,14206,"There are exceptions to this rule such as responses to HEAD method and 204 No Content, 304 Not Modified, 205 Reset Content responses.",C
14160,14176,304 Not Modified,14073,14206,"There are exceptions to this rule such as responses to HEAD method and 204 No Content, 304 Not Modified, 205 Reset Content responses.",C
14178,14195,205 Reset Content,14073,14206,"There are exceptions to this rule such as responses to HEAD method and 204 No Content, 304 Not Modified, 205 Reset Content responses.",C
14457,14503,"Streamed entities are generally not
repeatable",14457,14504,Streamed entities are generally not repeatable.,C
14625,14673,Self-contained entities are generally repeatable,14625,14674,Self-contained entities are generally repeatable.,C
14840,14890,"This is only possible with
self-contained entities",14840,14930,This is only possible with self-contained entities (like ByteArrayEntity or StringEntity).,C
14966,15023,an entity can represent both binary and character content,14960,15090,"Since an entity can represent both binary and character content, it has support for character encodings (to support the latter, i.e. character content).",C
15131,15234,The entity is created when executing a request with enclosed content or when the request was successful,15131,15303,The entity is created when executing a request with enclosed content or when the request was successful and the response body is used to send the result back to the client.,C
16443,16464,"if they are
available",16204,16466,"When the entity has been received with an incoming message, the methods HttpEntity#getContentType() and HttpEntity#getContentLength() methods can be used for reading the common metadata such as Content-Type and Content-Length headers (if they are available).",C
16657,16752,"If the headers aren't available, a length of -1 will be returned, and NULL for the content
type",16657,16753,"If the headers aren't available, a length of -1 will be returned, and NULL for the content type.",C
16657,16721,"If the headers aren't available, a length of -1 will be returned",16657,16753,"If the headers aren't available, a length of -1 will be returned, and NULL for the content type.",C
16754,16827,"If the Content-Type header is available, a Header object will be returned",16754,16828,"If the Content-Type header is available, a Header object will be returned.",C
17405,17465,"one must close the content stream associated
with the entity",17351,17466,In order to ensure proper release of system resources one must close the content stream associated with the entity.,C
18395,18424,"has a negative
content length",18345,18425,"After construction, it represents no content, and has a negative content length.",C
18831,18848,repeatable entity,18794,18898,"ByteArrayEntity is a self-contained, repeatable entity that obtains its content from a given byte array.",C
18854,18897,obtains its content from a given byte array,18794,18898,"ByteArrayEntity is a self-contained, repeatable entity that obtains its content from a given byte array.",C
19093,19110,repeatable entity,19072,19148,"StringEntity is a self-contained, repeatable entity that obtains its content from a java.",C
19116,19166,"obtains its content from a java.lang.String
object",19072,19167,"StringEntity is a self-contained, repeatable entity that obtains its content from a java.lang.String object.",C
