Clause Start,Clause End,Clause,Whole Start,Whole End,Whole Sentence,Class
75174,75343,"The LEFT, RIGHT, UP and DOWN keys move the caret in the respective direction, and the
PAGE_UP and PAGE_DOWN keys move the caret up and down one screen-full, respectively",75174,75344,"The LEFT, RIGHT, UP and DOWN keys move the caret in the respective direction, and the PAGE_UP and PAGE_DOWN keys move the caret up and down one screen-full, respectively.",C
75345,75457,"When pressed once, the HOME key moves the caret to the first non-whitespace character of the
current screen line",75345,75458,"When pressed once, the HOME key moves the caret to the first non-whitespace character of the current screen line.",C
75459,75544,"Pressing it a second time moves the caret to the beginning of the current buffer
line",75459,75545,Pressing it a second time moves the caret to the beginning of the current buffer line.,C
75546,75612,Pressing it a third time moves the caret to the first visible line,75546,75613,Pressing it a third time moves the caret to the first visible line.,C
75614,75798,"The END key behaves in a similar manner, going to the last non-whitespace character of the current
screen line, the end of the current buffer line, and finally to the last visible line",75614,75799,"The END key behaves in a similar manner, going to the last non-whitespace character of the current screen line, the end of the current buffer line, and finally to the last visible line.",C
75874,75999,"If soft wrap is enabled, a
screen line is a section of a newline-delimited buffer line that fits within the wrap margin width",75874,76000,"If soft wrap is enabled, a screen line is a section of a newline-delimited buffer line that fits within the wrap margin width.",C
76047,76131,"C+HOME and C+END move the caret to the beginning and end of the buffer, respectively",76047,76132,"C+HOME and C+END move the caret to the beginning and end of the buffer, respectively.",C
76593,76620,HOME is bound to Smart Home,76592,76621, HOME is bound to Smart Home.,C
76624,76649,END is bound to Smart End,76623,76650, END is bound to Smart End.,C
76653,76701,S+HOME is bound to Select to Smart Home Position,76652,76702, S+HOME is bound to Select to Smart Home Position.,C
76705,76751,S+END is bound to Select to Smart End Position,76704,76752, S+END is bound to Select to Smart End Position.,C
77587,77689,"Dragging the mouse creates a range selection from where the mouse was pressed to where it was
released",77570,77690, Range Selection Dragging the mouse creates a range selection from where the mouse was pressed to where it was released.,C
77691,77821,"Holding down Shift while clicking a location in the buffer will create a selection from
the caret position to the clicked location",77691,77822,Holding down Shift while clicking a location in the buffer will create a selection from the caret position to the clicked location.,C
77823,77950,"Holding down Shift in addition to a caret movement key (LEFT, UP, HOME, etc) will extend a
selection in the specified direction",77823,77951,"Holding down Shift in addition to a caret movement key (LEFT, UP, HOME, etc) will extend a selection in the specified direction.",C
78189,78343,"Holding down
Shift and Control while clicking a location in the buffer will create a rectangular selection
from the caret position to the clicked location",78189,78344,Holding down Shift and Control while clicking a location in the buffer will create a rectangular selection from the caret position to the clicked location.,C
78463,78492,In rectangular selection mode,78463,78659,"In rectangular selection mode, dragging the mouse always creates a rectangular selection, and keyboard commands that would normally create a range selection create a rectangular selection instead.",C
