Whole Sentence,Class
"The LEFT, RIGHT, UP and DOWN keys move the caret in the respective direction, and the PAGE_UP and PAGE_DOWN keys move the caret up and down one screen-full, respectively.",C
"When pressed once, the HOME key moves the caret to the first non-whitespace character of the current screen line.",C
Pressing it a second time moves the caret to the beginning of the current buffer line.,C
Pressing it a third time moves the caret to the first visible line.,C
"The END key behaves in a similar manner, going to the last non-whitespace character of the current screen line, the end of the current buffer line, and finally to the last visible line.",C
"If soft wrap is enabled, a screen line is a section of a newline-delimited buffer line that fits within the wrap margin width.",C
"C+HOME and C+END move the caret to the beginning and end of the buffer, respectively.",C
 HOME is bound to Smart Home.,C
 END is bound to Smart End.,C
 S+HOME is bound to Select to Smart Home Position.,C
 S+END is bound to Select to Smart End Position.,C
 Range Selection Dragging the mouse creates a range selection from where the mouse was pressed to where it was released.,C
Holding down Shift while clicking a location in the buffer will create a selection from the caret position to the clicked location.,C
"Holding down Shift in addition to a caret movement key (LEFT, UP, HOME, etc) will extend a selection in the specified direction.",C
Holding down Shift and Control while clicking a location in the buffer will create a rectangular selection from the caret position to the clicked location.,C
"In rectangular selection mode, dragging the mouse always creates a rectangular selection, and keyboard commands that would normally create a range selection create a rectangular selection instead.",C
A status bar indicator is shown when this mode is enabled.,C
It is possible to select a rectangle with zero width but non-zero height.,C
Such zero-width selections are shown as a thin vertical line.,C
"Inserting text into a rectangular selection repeats the text going down as many times as necessary, and shifts the selection to the right.",C
Rectangular selections can extend beyond the end of a line into a virtual space.,C
"Furthermore, if keyboard rectangular selection mode is on or if the Control key is being held down, clicking beyond the end of a line will insert the appropriate amount of whitespace in order to position the cursor at the clicked location.",C
 Multiple Selection Edit>More Selection>Multiple Selection (keyboard shortcut: C+\) turns multiple selection mode on and off.,C
The status bar indicates if multiple selection mode is active; see the section called “The Status Bar”.,C
"Line-based commands (such as Shift Indent Left, Shift Indent Right, and Line Comment) operate on each line that contains at least one selection.",C
 Some older plugins may not support multiple selection at all.,C
"Edit>More Selection>Select None (shortcut: ESCAPE) deactivates the selection containing the caret, if there is one.",C
Otherwise it deactivates all active selections.,C
"Note Deactivating multiple selection mode while multiple blocks of text are selected will leave the selections in place, but you will not be able to add new selections until multiple selection mode is reactivated.",C
"Keyboard Focus When the cursor disappears, that means the text area no longer has focus, and when you type, your keystrokes are probably going somewhere else, such as a dockable.",C
"In overwrite mode, which can be toggled by pressing INSERT, one character is deleted from in front of the caret position for every character that is inserted.",C
"If nothing is selected, they delete the character before or after the caret, respectively.",C
"If a selection exists, both delete the selection.",C
"By default, the last 100 edits is retained;  older edits cannot be undone.",C
Working With Words C+LEFT and C+RIGHT move the caret a word at a time.,C
Holding down Shift in addition to the above extends the selection a word at a time.,C
"A single word can be selected by double-clicking with the mouse, or using the Edit>More Selection>Select Word command (shortcut:  C+e w).",C
A selection that begins and ends on word boundaries can be created by double-clicking and dragging.,C
"If there is only one completion, it will be inserted into the buffer immediately.",C
"If multiple completions were found, the longest common prefix is inserted into the buffer, and a popup is shown below the caret position listing the completions.",C
" Working With Lines An entire line can be selected by triple-clicking with the mouse, or using the Edit>More Selection>Select Line command (shortcut: C+e l). ",C
A selection that begins and ends on line boundaries can be created by triple-clicking and dragging.,C
"A relative offset can be used here, if it is prefixed by a + or a - sign. So for example -5 moves the caret up by 5 lines.",C
Various jEdit commands behave differently with multiple selections.,NC
"The Home and End keys If you prefer more traditional behavior for the HOME and END keys, you can reassign the respective keyboard shortcuts in the Shortcuts pane of the Utilities>Options;",NC
